Port_Name,lat_long,Province
Dandong Port,"40.0432300000,124.3509000000",Liaoning
Jingtang Port,"39.2053020000,119.0032830000",Hebei
Beilun Port,"29.9307200000,121.8416900000",Zhejiang
Nanjing Port,"32.0947500000,118.7366600000",Jiangsu
Nantong Port,"32.0071800000,120.8202800000",Jiangsu
Xiamen Port,"24.4539510000,118.0824090000",Fujian
Dalian Port,"38.9314600000,121.6583700000",Liaoning
Tianjin Port,"38.9821730000,117.7461720000",Tianjin
Taicang Port,"31.6234700000,121.2091000000",Jiangsu
Rugao Port,"32.1338700000,120.5529800000",Jiangsu
Mawan Port,"22.4888330000,113.8727790000",Guangdong
Lanshan Port,"35.1020600000,119.3744100000",Shandong
Lanqiao Port,"35.1292700000,119.3792700000",Shandong
Changzhou Port,"31.9610800000,119.9942100000",Jiangsu
Guangzhou Port,"23.0941930000,113.4519390000",Guangdong
Zhangjiagang Port,"31.9897000000,120.7040000000",Jiangsu
Yangzhou Port,"32.2718500000,119.4432500000",Jiangsu
Rizhao Port,"35.3807700000,119.5557400000",Shandong
Caofeidian Port,"39.0291120000,118.4995260000",Hebei
Jiangyin Port,"31.9117890000,120.1518430000",Jiangsu
Quanzhou Port,"24.8867400000,118.6836100000",Fujian
Taizhou Port,"32.2853900000,119.8667000000",Zhejiang
Zhanjiang Port,"21.1810600000,110.4160000000",Guangdong
Weifang Port,"37.1485500000,119.1750500000",Shandong
Yantai Port,"37.5552400000,121.3919300000",Shandong
Fuzhou Port,"25.4333000000,119.2955600000",Fujian
Qinhuangdao Port,"39.9287900000,119.6418400000",Hebei
Luojing Port,"30.8003900000,121.0267800000",Shanghai
Zhoushan Wugang Port,"29.6999800000,122.1924900000",Zhejiang
Putian Port,"25.2214900000,118.9905100000",Fujian
Laizhou Port,"37.4118500000,119.9596900000",Shandong
Shekou Port,"22.4757660000,113.9132630000",Guangdong
Lianyungang Port,"34.7349900000,119.4599800000",Jiangsu
Qinzhou Port,"21.7272700000,108.5887600000",Guangdong
Jinzhou Port,"40.8174400000,121.0446800000",Liaoning
Zhenjiang Port,"32.1912700000,119.8761400000",Jiangsu
Fangchenggang Port,"21.6871300000,108.3547200000",Guangxi
Qingdao Port,"36.0974320000,120.3285430000",Shandong
Majishan Port,"30.6766104709,122.4190986156",Zhejiang
Gaolan Port,"21.9761300000,113.2075000000",Guangdong
Bayuquan Port,"40.2895400000,122.0977300000",Liaoning
Huanghua Port,"38.3137000000,117.9119700000",Hebei
Longkou Port,"37.6386900000,120.3074800000",Shandong
Mawei Port,"25.9835700000,119.4545400000",Fujian
Meijin Port,"31.5590100344,121.2878608704",Jiangsu
